,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,1,2,2,0,1,1169,6,6
1,22,2,2,2,1,2,5951,48,6
2,49,1,1,2,1,0,2096,12,4
3,45,1,2,1,1,1,7882,42,5
4,53,1,2,1,1,1,4870,24,2
5,35,1,1,1,0,0,9055,36,4
6,53,1,2,2,3,0,2835,24,5
7,35,1,3,3,1,2,6948,36,2
8,61,1,1,2,4,0,3059,12,6
9,28,1,3,2,1,2,5234,30,2
10,25,2,2,3,1,2,1295,12,2
11,24,2,2,3,1,1,4308,48,1
12,22,2,2,2,1,2,1567,12,6
13,60,1,1,2,1,1,1199,24,2
14,28,2,2,3,1,1,1403,15,2
15,32,2,1,2,2,1,1282,24,6
16,53,1,2,2,0,0,2424,24,6
17,25,1,2,2,0,1,8072,30,1
18,44,2,3,1,1,2,12579,24,2
19,31,1,2,2,3,0,3430,24,6
20,48,1,2,2,1,0,2134,9,2
21,44,1,2,3,3,1,2647,6,6
22,48,1,1,3,1,1,2241,10,2
23,44,1,2,2,2,2,1804,12,2
24,26,1,2,2,0,0,2069,10,5
25,36,1,1,2,1,1,1374,6,5
26,39,1,1,2,1,0,426,6,6
27,42,2,2,3,4,3,409,12,6
28,34,1,2,2,1,2,2415,7,6
29,63,1,2,2,1,1,6836,60,1
30,36,1,2,2,4,2,1913,18,1
31,27,1,2,2,1,1,4020,24,5
32,30,1,2,2,2,2,5866,18,2
33,57,1,1,3,0,0,1264,12,1
34,33,2,3,2,1,3,1474,12,5
35,25,1,1,2,1,2,4746,45,6
36,31,1,2,1,1,0,6110,48,4
37,37,1,2,2,1,3,2100,18,6
38,37,1,2,2,1,3,1225,10,3
39,24,1,2,2,1,2,458,9,6
40,30,1,3,2,3,0,2333,30,6
41,26,1,2,2,3,2,1158,12,6
42,44,1,1,2,1,2,6204,18,7
43,24,1,2,3,2,1,6187,30,2
44,58,2,1,1,1,1,6143,48,2
45,35,2,3,2,1,0,1393,11,2
46,39,1,2,2,3,0,2299,36,6
47,23,2,0,3,3,1,1352,6,2
48,39,1,1,2,1,0,7228,11,2
49,28,2,2,2,2,0,2073,12,6
50,29,1,1,2,0,2,2333,24,5
51,30,1,3,2,1,2,5965,27,2
52,25,1,2,2,1,0,1262,12,6
53,31,1,2,2,0,0,3378,18,2
54,57,1,2,1,1,2,2225,36,2
55,26,1,1,2,0,0,783,6,2
56,52,1,3,2,0,2,6468,12,6
57,31,2,2,2,1,0,9566,36,6
58,23,2,3,2,1,3,1961,18,2
59,23,2,1,3,1,1,6229,36,5
60,27,1,2,2,1,2,1391,9,1
61,50,1,2,2,0,2,1537,15,6
62,61,1,3,1,1,2,1953,36,1
63,25,1,2,2,1,2,14421,48,1
64,26,2,2,2,1,0,3181,24,6
65,48,1,2,2,0,0,5190,27,7
66,29,2,2,2,1,0,2171,12,6
67,22,1,2,2,4,2,1007,12,2
68,37,1,2,1,1,0,1819,36,4
69,25,2,2,2,0,0,2394,36,6
70,30,2,2,2,1,0,8133,36,2
71,46,1,1,3,0,0,730,7,6
72,51,1,3,1,1,1,1164,8,8
73,41,2,1,2,1,2,5954,42,1
74,40,1,3,2,0,1,1977,36,4
75,66,1,3,1,1,1,1526,12,2
76,34,1,2,2,1,1,3965,42,6
77,51,1,2,2,1,2,4771,11,6
78,39,1,1,2,0,0,9436,54,2
79,22,1,2,2,1,2,3832,30,5
80,44,2,2,2,0,0,5943,24,6
81,47,1,2,2,3,0,1213,15,6
82,24,2,1,3,2,0,1568,18,1
83,58,2,1,2,1,1,1755,24,8
84,52,1,1,2,1,1,2315,10,6
85,29,2,3,2,1,0,1412,12,1
86,27,2,2,2,1,2,1295,18,5
87,47,1,2,1,2,2,12612,36,4
88,30,1,3,2,2,1,2249,18,2
89,28,1,2,2,1,1,1108,12,7
90,56,1,2,2,1,0,618,12,6
91,54,1,2,2,1,1,1409,12,2
92,33,2,1,2,0,0,797,12,6
93,20,1,2,3,0,3,3617,24,5
94,54,1,2,2,4,2,1318,12,2
95,58,1,2,3,1,2,15945,54,1
96,61,2,2,2,0,0,2012,12,4
97,34,1,2,2,2,2,2622,18,1
98,36,1,2,2,1,2,2337,36,6
99,36,1,3,3,0,2,7057,20,2
100,41,1,1,3,2,0,1469,24,2
101,24,1,2,3,1,2,2323,36,6
102,24,2,2,2,1,0,932,6,6
103,35,1,2,3,1,2,1919,9,5
104,26,1,2,3,0,0,2445,12,2
105,39,1,3,2,1,2,11938,24,8
106,39,1,3,2,1,0,6458,18,2
107,32,1,2,2,1,2,6078,12,2
108,30,2,2,2,0,1,7721,24,5
109,35,1,2,2,3,2,1410,14,1
110,31,1,2,2,2,2,1449,6,1
111,23,2,2,3,1,3,392,15,4
112,28,1,1,3,1,2,6260,18,2
113,25,2,2,2,1,0,7855,36,2
114,35,1,2,2,3,1,1680,12,6
115,47,1,2,2,0,0,3578,48,6
116,30,2,3,2,0,1,7174,42,6
117,27,2,2,3,0,1,2132,10,5
118,23,2,2,2,3,1,4281,33,5
119,36,1,3,2,3,2,2366,12,2
120,25,2,2,2,1,1,1835,21,6
121,41,2,3,3,1,0,3868,24,2
122,24,1,1,3,1,0,1768,12,5
123,63,1,2,1,1,3,781,10,2
124,27,2,2,3,0,2,1924,18,5
125,30,1,2,2,1,1,2121,12,2
126,40,1,1,2,1,1,701,12,6
127,30,1,2,2,1,2,639,12,7
128,34,1,3,2,1,2,1860,12,2
129,29,2,2,2,1,1,3499,12,2
130,24,2,2,2,0,2,8487,48,2
131,29,1,2,2,1,1,6887,36,4
132,27,1,1,2,1,0,2708,15,5
133,47,1,2,1,1,0,1984,18,5
134,21,2,2,2,2,0,10144,60,6
135,38,2,2,2,0,0,1240,12,6
136,27,1,2,2,4,0,8613,27,2
137,66,1,1,2,3,2,766,12,6
138,35,1,2,2,0,2,2728,15,6
139,44,2,1,3,1,3,1881,12,6
140,27,1,0,2,4,3,709,6,2
141,30,2,3,2,1,2,4795,36,6
142,27,1,3,2,1,1,3416,27,6
143,22,1,2,2,1,1,2462,18,5
144,23,2,2,2,1,0,2288,21,5
145,30,1,2,2,2,2,3566,48,1
146,39,2,2,2,1,1,860,6,2
147,51,2,2,2,2,0,682,12,2
148,28,1,2,2,1,1,5371,36,5
149,46,1,2,2,4,0,1582,18,6
150,42,1,2,1,2,0,1346,6,6
151,38,1,2,2,1,0,1924,10,6
152,24,1,2,2,1,3,5848,36,6
153,29,2,2,3,4,2,7758,24,2
154,36,1,3,3,2,2,6967,24,1
155,20,2,2,3,1,1,1282,12,5
156,48,1,2,2,2,1,1288,9,7
157,45,1,1,2,1,1,339,12,4
158,38,1,2,2,2,2,3512,24,2
159,34,1,1,2,0,0,1898,6,6
160,36,1,2,2,2,0,2872,24,6
161,30,2,2,2,1,0,1055,18,2
162,36,1,2,2,3,0,1262,15,3
163,70,1,3,1,1,2,7308,10,2
164,36,1,2,2,3,0,909,36,2
165,32,1,2,2,3,0,2978,6,5
166,33,2,2,2,1,1,1131,18,5
167,20,2,2,2,4,2,1577,11,5
168,25,2,2,3,1,0,3972,24,5
169,31,1,2,2,1,2,1935,24,1
170,33,1,2,3,1,1,950,15,2
171,26,2,2,2,1,0,763,12,5
172,34,2,3,2,1,2,2064,24,5
173,33,1,2,2,1,2,1414,8,6
174,26,1,2,2,1,1,3414,21,4
175,53,2,3,2,0,0,7485,30,2
176,42,1,2,2,1,1,2577,12,5
177,52,1,2,2,3,1,338,6,6
178,31,1,3,3,1,0,1963,12,6
179,65,1,2,2,1,1,571,21,2
180,28,1,2,2,1,0,9572,36,1
181,30,1,3,2,1,2,4455,36,1
182,40,1,1,2,0,1,1647,21,2
183,50,1,2,2,4,0,3777,24,5
184,36,1,2,2,1,2,884,18,2
185,31,1,2,2,1,0,1360,15,6
186,74,2,3,1,1,2,5129,9,2
187,68,1,0,1,1,2,1175,16,2
188,20,1,2,2,2,1,674,12,6
189,33,2,2,2,1,2,3244,18,5
190,54,1,3,2,4,0,4591,24,1
191,34,1,1,1,2,2,3844,48,1
192,36,1,2,2,1,2,3915,27,1
193,29,1,2,3,1,0,2108,6,6
194,21,1,2,3,2,2,3031,45,6
195,34,2,3,2,1,2,1501,9,4
196,28,2,2,2,1,0,1382,6,6
197,27,2,2,3,2,2,951,12,5
198,36,1,2,1,0,2,2760,24,2
199,40,1,3,2,1,2,4297,18,5
200,52,1,2,2,3,0,936,9,4
201,27,1,1,2,1,1,1168,12,2
202,26,1,2,2,1,0,5117,27,1
203,21,1,2,3,1,1,902,12,4
204,38,1,1,2,1,0,1495,12,2
205,38,1,3,1,1,1,10623,30,2
206,43,1,2,2,1,0,1935,12,5
207,26,1,2,2,1,2,1424,12,3
208,21,1,1,2,1,1,6568,24,1
209,55,1,2,2,4,0,1413,12,2
210,33,1,2,2,0,0,3074,9,6
211,45,2,1,2,0,0,3835,36,6
212,50,1,2,2,1,1,5293,27,1
213,66,1,3,2,1,3,1908,30,1
214,51,1,2,2,0,0,3342,36,6
215,39,2,1,2,0,2,932,6,4
216,31,1,2,2,1,1,3104,18,1
217,23,1,2,2,1,3,3913,36,6
218,24,1,1,3,1,1,3021,24,5
219,64,2,2,2,1,0,1364,10,2
220,26,1,1,2,1,2,625,12,6
221,23,2,2,3,0,1,1200,12,4
222,30,1,2,2,1,0,707,12,6
223,32,1,2,2,0,0,2978,24,1
224,30,1,2,2,1,0,4657,15,2
225,27,1,2,2,1,0,2613,36,7
226,27,1,2,2,4,2,10961,48,6
227,53,1,3,1,1,1,7865,12,5
228,22,1,2,2,1,0,1478,9,6
229,22,1,2,1,1,1,3149,24,5
230,26,1,2,2,1,3,4210,36,6
231,51,1,1,1,3,0,2507,9,2
232,35,1,2,2,2,0,2141,12,6
233,25,1,1,2,1,2,866,18,6
234,42,1,1,2,1,0,1544,4,6
235,30,1,3,2,1,1,1823,24,6
236,23,1,0,2,0,2,14555,6,2
237,61,1,1,3,2,2,2767,21,1
238,35,2,2,2,1,0,1291,12,6
239,39,1,2,2,1,1,2522,30,6
240,29,2,2,2,0,1,915,24,2
241,51,1,2,2,1,0,1595,6,6
242,24,1,2,1,1,1,4605,48,2
243,27,2,2,2,1,0,1185,12,1
244,35,2,1,2,3,0,3447,12,4
245,25,1,2,2,1,0,1258,24,1
246,52,1,2,2,1,0,717,12,6
247,35,1,2,3,2,0,1204,6,2
248,26,1,2,2,1,3,1925,24,5
249,22,2,2,3,1,0,433,18,6
250,39,2,1,2,4,1,666,6,2
251,46,2,1,2,1,3,2251,12,5
252,24,2,2,2,1,2,2150,30,2
253,35,1,2,2,2,0,4151,24,5
254,24,1,2,2,0,2,2030,9,5
255,27,1,1,2,0,2,7418,60,6
256,35,1,1,2,1,0,2684,24,6
257,29,1,2,1,1,1,2149,12,6
258,23,2,2,2,2,0,3812,15,2
259,57,2,1,2,2,0,1154,11,6
260,27,1,2,2,1,1,1657,12,5
261,55,2,2,2,1,1,1603,24,6
262,36,1,3,1,1,1,5302,18,2
263,57,2,1,1,1,0,2748,12,4
264,32,1,1,2,1,0,1231,10,2
265,37,1,2,2,1,2,802,15,6
266,36,1,2,2,0,0,6304,36,1
267,38,2,2,2,1,0,1533,24,6
268,45,1,3,2,1,1,8978,14,2
269,25,1,2,2,0,0,999,24,6
270,32,1,2,2,0,0,2662,18,2
